,DATE,SYMBOL,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE_CHANGE,CLOSE_PCT_CHANGE,DAILY_RANGE,DAILY_RANGE_PCT
0,10/22/2025,A,145.59,147.74,144.46,145.28,209523,-0.09,-0.0618,3.285,2.2741
1,10/22/2025,AAPL,258.31,262.85,257.64,262.79,15361179,-4.46,-1.6973,5.2099,2.0222
2,10/22/2025,ABBV,230.67,232.05,230,231.67,845674,-0.72,-0.3112,2.05,0.8913
3,10/22/2025,ABNB,128.46,128.85,127.69,128.52,698057,-0.1,-0.0778,1.16,0.9085
4,10/22/2025,ABT,128.36,128.84,127.14,127.62,1876775,0.82,0.6429,1.705,1.3411
5,10/22/2025,ACGL,87.94,88.4,86.97,88.06,441542,0.24,0.2737,1.425,1.6384
6,10/22/2025,ACN,249.99,251.05,247.17,248.61,1182725,-0.515,-0.2056,3.8758,1.5681
7,10/22/2025,ADBE,358.49,360.19,353,355.21,1117322,0.94,0.2629,7.19,2.0368
8,10/22/2025,ADI,239.22,241.12,237.06,240.92,1501253,-7.15,-2.9021,4.06,1.7126
9,10/22/2025,ADM,62.69,62.69,61.17,61.74,788663,0.975,1.5797,1.52,2.4847
10,10/22/2025,ADP,286.64,287.4,282.94,283.61,298739,2.665,0.9384,4.46,1.5763
11,10/22/2025,ADSK,308.88,311.28,307.72,309.82,452368,-1.69,-0.5442,3.56,1.1569
12,10/22/2025,AEE,105.39,105.44,104.5,105.04,138950,0.47,0.448,0.94,0.8995
13,10/22/2025,AEP,117.9,118.16,117.12,117.44,459883,0.47,0.4002,1.042,0.8897
14,10/22/2025,AES,14.17,14.36,14.11,14.35,2727234,-0.15,-1.0475,0.25,1.7718
15,10/22/2025,AFL,108,108.82,107.33,108.19,297902,-0.185,-0.171,1.49,1.3882
16,10/22/2025,AIG,78.46,79.36,78.08,78.66,799327,0.08,0.1021,1.28,1.6393
17,10/22/2025,AIZ,211.95,212.18,210.2,210.66,42640,1.105,0.5241,1.975,0.9396
18,10/22/2025,AJG,282.82,284.04,277.92,279.52,352576,3.81,1.3655,6.12,2.2021
19,10/22/2025,AKAM,75.73,76.39,75.04,75.62,415209,-0.4,-0.5254,1.35,1.799
20,10/22/2025,ALB,90.14,91.9,89.8,90.8,451437,-1.2,-1.3138,2.099,2.3374
21,10/22/2025,ALGN,137.13,138.35,136.33,136.5,331413,0.915,0.6717,2.02,1.4817
22,10/22/2025,ALL,193.82,194.52,192.02,193.96,265664,0.08,0.0413,2.505,1.3045
23,10/22/2025,ALLE,178.47,179.75,176.95,179.1,256500,-1,-0.5572,2.8,1.5824
24,10/22/2025,AMAT,220.27,226.77,220.03,226,1604540,-5.73,-2.5354,6.74,3.0632
25,10/22/2025,AMCR,8.23,8.25,8.14,8.14,4435007,0.095,1.1671,0.115,1.4136
26,10/22/2025,AMD,227.9,240.13,227.63,236.71,24579340,-10.1344,-4.2576,12.5024,5.4924
27,10/22/2025,AME,186.37,189.18,186.01,188.84,123972,-1.93,-1.025,3.165,1.7015
28,10/22/2025,AMGN,301.66,302.82,299.05,301.29,315419,0.52,0.1727,3.7639,1.2586
29,10/22/2025,AMP,479.62,481.84,477.36,479.4,80314,0.26,0.0542,4.48,0.9385
30,10/22/2025,AMT,192.59,193.25,191.19,192.03,247942,0.22,0.1144,2.06,1.0775
31,10/22/2025,AMZN,218.74,220.01,216.91,219.43,17043786,-3.29,-1.4818,3.095,1.4269
32,10/22/2025,ANET,142.68,147.25,141.68,145.87,1634066,-3.26,-2.2338,5.57,3.9314
33,10/22/2025,AON,342.94,344.29,340.51,343.32,289733,-0.49,-0.1427,3.78,1.1101
34,10/22/2025,AOS,69.7,70.84,69.56,70.83,335011,-1.3025,-1.8345,1.285,1.8475
35,10/22/2025,APA,22.53,22.83,22.34,22.38,1835578,-0.05,-0.2214,0.495,2.2158
36,10/22/2025,APD,254.6,255.07,252.31,254.04,319071,-0.115,-0.0452,2.7614,1.0945
37,10/22/2025,APH,126.87,135.93,125,135.35,8745904,2.43,1.9527,10.935,8.748
38,10/22/2025,APO,126.48,127.91,125.4,126.24,666438,0.5025,0.3989,2.51,2.0016
39,10/22/2025,APP,559.71,570,554.24,568.73,1520635,7.065,1.2784,15.76,2.8435
40,10/22/2025,APTV,84.6,86.11,84.6,85.21,307991,-0.99,-1.1567,1.51,1.7849
41,10/22/2025,ARE,78.03,78.13,76.69,77.09,282827,1.235,1.6083,1.44,1.8777
42,10/22/2025,ATO,177.44,177.69,176.16,177.7,135266,0.4,0.2259,1.53,0.8685
43,10/22/2025,AVB,189.97,190,186.3,188.12,148131,2.85,1.5231,3.695,1.9833
44,10/22/2025,AVGO,338.86,348.01,337.22,347.36,5078675,-3.8,-1.109,10.7899,3.1997
45,10/22/2025,AVY,175.82,176.53,166.19,166.58,525513,12.29,7.5154,10.34,6.2218
46,10/22/2025,AWK,145.04,145.25,142.85,143.33,176071,0.8825,0.6122,2.4,1.6801
47,10/22/2025,AXON,686.84,709.77,683.35,709.77,165909,-20.205,-2.8577,26.42,3.8663
48,10/22/2025,AXP,353.28,357.73,352.88,355.28,774858,-1.94,-0.5461,4.8586,1.3769
49,10/22/2025,AZO,4021.27,4040,3974.38,4010,20624,15.0601,0.3759,65.625,1.6512
50,10/22/2025,BA,214.84,217.4,214.4,216.68,1612525,-2.425,-1.1162,3,1.3993
